Item,Qty,Reference(s),Value,Description,Digikey
1,1,C101,0.1uF/50V,CAP CER 0.1UF 50V X7R 0603,478-5052-1-ND
2,1,CON101,UMDv3-CONN,CONN RCPT 32POS 0.1 GOLD PCB,SAM1211-32-ND
3,1,CON102,SNES-CONN,SUPER NEW EDGE CONNECTOR,
4,1,U101,MCP23008T-E_SS,IC I/O EXPANDER 8BIT I2C 20-SSOP,MCP23008T-E/SSCT-ND
